AirBags,Type
None,Small
Driver & Passenger,Midsize
Driver only,Compact
Driver & Passenger,Midsize
Driver only,Midsize
Driver only,Midsize
Driver only,Large
Driver only,Large
Driver only,Midsize
Driver only,Large
Driver & Passenger,Midsize
None,Compact
Driver only,Compact
Driver & Passenger,Sporty
None,Midsize
None,Van
None,Van
Driver only,Large
Driver only,Sporty
Driver & Passenger,Large
Driver & Passenger,Compact
Driver only,Large
None,Small
Driver only,Small
Driver only,Compact
Driver only,Van
Driver only,Midsize
Driver only,Sporty
None,Small
Driver & Passenger,Large
None,Small
None,Small
None,Compact
Driver only,Sporty
Driver only,Sporty
Driver only,Van
Driver only,Midsize
Driver only,Large
None,Small
Driver only,Sporty
Driver & Passenger,Sporty
Driver only,Small
Driver & Passenger,Compact
None,Small
None,Small
None,Sporty
None,Midsize
Driver only,Midsize
Driver only,Midsize
Driver & Passenger,Midsize
Driver & Passenger,Midsize
Driver & Passenger,Large
None,Small
None,Small
Driver only,Compact
None,Van
Driver only,Sporty
Driver only,Compact
Driver & Passenger,Midsize
Driver only,Sporty
None,Midsize
None,Small
Driver only,Midsize
Driver only,Small
Driver only,Compact
None,Van
Driver only,Midsize
None,Compact
Driver only,Midsize
None,Van
Driver only,Large
None,Sporty
None,Small
None,Compact
Driver & Passenger,Sporty
None,Midsize
Driver & Passenger,Large
Driver only,Compact
Driver only,Small
None,Small
None,Small
Driver only,Compact
None,Small
Driver only,Small
Driver only,Sporty
Driver only,Midsize
Driver only,Van
None,Small
None,Van
None,Compact
None,Sporty
Driver only,Compact
Driver & Passenger,Midsize
